Source File,Destination File,Skill Verified,Proof Strength,Public-Safe Status,Page or Claim Supported,Decision
C:\EvidencePack\C__Users_jeremy_Desktop_M365-final-proof.json,N/A,Evidence review automation,Low,Not public-safe as raw file,Reviewer evidence inventory,Rejected: overbroad generated index includes noisy local paths and does not strengthen public claims.
C:\EvidencePack\C__Users_jeremy_Desktop_M365-real-proof.json,N/A,Evidence review automation,Low,Not public-safe as raw file,Reviewer evidence inventory,Rejected: overbroad generated index includes local system paths and needs curation before publication.
C:\EvidencePack\C__Users_jeremy_Desktop_M365-evidence-validated.json,N/A,Evidence review automation,Low,Not public-safe as raw file,Reviewer evidence inventory,Rejected: generated validation index includes non-portfolio files and does not add stronger public proof.
C:\EvidencePack\C__Users_jeremy_Desktop_M365-evidence-validated-ndjson.json,N/A,Evidence review automation,Low,Not public-safe as raw file,Reviewer evidence inventory,Rejected: malformed/noisy NDJSON-style export and not appropriate for public portfolio use.
C:\EvidencePack\C__Users_jeremy_Documents_projects_jeremyfontenot_evidence-library_projects_microsoft-365-lab_evidence_entra-exports-20260605-073748_tenant-organization-domains-skus.json,evidence-library/projects/microsoft-365-lab/evidence/entra-exports-20260605-073748/tenant-organization-domains-skus.json,Microsoft 365 tenant and domain review,High,Already public-safe in repository,Homepage/projects/proof/resume tenant and domain claims,Rejected as duplicate: SHA-256 matched existing repository evidence.
C:\EvidencePack\C__Users_jeremy_Documents_projects_jeremyfontenot_evidence-library_projects_microsoft-365-lab_evidence_entra-exports-20260605-073748_m365-admin-center-active-users-20260605.png,evidence-library/projects/microsoft-365-lab/evidence/entra-exports-20260605-073748/m365-admin-center-active-users-20260605.png,Microsoft 365 admin center review,High,Already public-safe in repository,Microsoft 365 admin center and user-review claims,Rejected as duplicate: SHA-256 matched existing repository evidence.
C:\EvidencePack\C__Users_jeremy_Documents_projects_jeremyfontenot_evidence-library_projects_microsoft-365-lab_evidence_entra-exports-20260605-073748_m365-admin-center-active-teams-groups-20260605.png,evidence-library/projects/microsoft-365-lab/evidence/entra-exports-20260605-073748/m365-admin-center-active-teams-groups-20260605.png,Microsoft 365 groups review,High,Already public-safe in repository,Microsoft 365 groups proof claims,Rejected as duplicate: same dated evidence set already committed.
C:\EvidencePack\C__Users_jeremyfontenot_Desktop_M365-Inventory_conditional-access.json,N/A,Conditional Access review,Medium,Needs sanitization before any public use,Conditional Access historical inventory,Rejected: older export contains raw identifiers and is weaker than sanitized 2026-06-05 repository exports.
C:\EvidencePack\C__Users_jeremyfontenot_Desktop_M365-Inventory_users.csv,N/A,Entra user inventory review,Medium,Not public-safe as raw file,User inventory claims,Rejected: contains personal names and object IDs; current sanitized repository export is safer.
C:\EvidencePack\C__Users_jeremyfontenot_Desktop_M365-Inventory_exo-mailboxes.csv,N/A,Exchange mailbox review,Medium,Not public-safe as raw file,Exchange review claims,Rejected: contains mailbox addresses and is older/weaker than current repository Exchange evidence.
C:\EvidencePack\C__Users_jeremyfontenot_Desktop_M365-Inventory_spo-tenant.json,N/A,SharePoint tenant settings review,Medium,Needs sanitization and current-scope review,SharePoint claim review,Rejected: active public site intentionally avoids current SharePoint availability claims.
