path,originalSourcePath,title,status,proofType,relatedProject,relatedSkill,confidenceLevel,preservationStatus
evidence-library/projects/on-prem-home-lab/jeremy-fontenot-on-premises-home-lab-validation-2026-06-21.docx,Jeremy_Fontenot_On_Premises_Home_Lab_Validation_2026-06-21.docx,On-Premises Home Lab Infrastructure Validation,AUTHORITATIVE,document,On-Premises Home Lab,Infrastructure,validated-2026-06-21,VALIDATED PUBLIC PROOF
evidence-library/projects/on-prem-home-lab/validated-2026-06-21/manifest.json,curated from verified local evidence sources,On-Premises Home Lab Evidence Manifest,AUTHORITATIVE,manifest,On-Premises Home Lab,Evidence Governance,validated-2026-06-21,VALIDATED PUBLIC PROOF
evidence-library/architecture-diagrams/identity-access-ad-migration-diagram-2026.svg,assets/evidence/ad-migration-diagram.svg,Identity Access AD Migration Diagram,AUTHORITATIVE,diagram,Identity and Access,Active Directory,reviewed-preserve,CONFIRMED VALID PROOF
evidence-library/architecture-diagrams/home-lab-network-topology-diagram-2026.svg,historical home lab diagram asset,Home Lab Network Topology Diagram,AUTHORITATIVE,diagram,Home Lab,Networking / VLANs,reviewed-preserve,CONFIRMED VALID PROOF
evidence-library/projects/microsoft-365-lab/microsoft-365-lab-conditional-access-baseline-configuration-2026.yaml,docs/projects/m365-lab/artifacts/conditional-access-baseline.yaml,Microsoft 365 Conditional Access Baseline Configuration,AUTHORITATIVE,configuration,Microsoft 365 Lab,Microsoft 365 Administration,reviewed-preserve,CONFIRMED VALID PROOF
evidence-library/architecture-diagrams/microsoft-365-lab-architecture-diagram-2026.svg,assets/evidence/m365-lab-architecture.svg,Microsoft 365 Lab Architecture Diagram,AUTHORITATIVE,diagram,Microsoft 365 Lab,Microsoft 365 Administration,reviewed-preserve,CONFIRMED VALID PROOF
evidence-library/scripts/powershell-automation-provisioning-script-v1.ps1,docs/projects/ad-migration/artifacts/provisioning.ps1,PowerShell Provisioning Script,AUTHORITATIVE,script,PowerShell Automation,PowerShell,reviewed-preserve,CONFIRMED VALID PROOF
evidence-library/projects/identity-access/identity-access-change-record-notes-2026.md,docs/projects/ad-migration/artifacts/change-record.md,Identity Access Change Record Notes,AUTHORITATIVE,notes,Identity and Access,Documentation,reviewed-preserve,CONFIRMED VALID PROOF
evidence-library/projects/troubleshooting-rca/troubleshooting-rca-incident-log-2025.txt,evidence/public/incident-2025-02-10-logs.txt,Troubleshooting RCA Incident Log,AUTHORITATIVE,troubleshooting-record,Troubleshooting / RCA,Service Desk Support,reviewed-preserve,CONFIRMED VALID PROOF
evidence-library/experience/jeremy-fontenot-resume-2026.pdf,assets/resume/jeremy-fontenot-resume.pdf,Jeremy Fontenot Resume,AUTHORITATIVE,document,Experience,Documentation,reviewed-preserve,CONFIRMED VALID PROOF
evidence-library/screenshots/portfolio-visual-screenshot-2026.png,assets/website-images/4K Cinematic Version.png,Portfolio Visual Screenshot,SUPPORTING ARCHIVE,image,General Portfolio Evidence,Documentation,reviewed-preserve,HISTORICAL ARCHIVE EVIDENCE
evidence-library/certifications/certification-lpi-badge-2026.png,assets/certifications/badges/lpi_badge.png,LPI Badge Evidence,AUTHORITATIVE,image,Certifications,Documentation,reviewed-preserve,CONFIRMED VALID PROOF
evidence-library/architecture-diagrams/pfsense-network-segmentation-diagram-2026.svg,generated-gap-evidence/pfsense-network-segmentation-diagram-2026.svg,Pfsense Network Segmentation Diagram 2026,DOCUMENTATION,SVG diagram,Infrastructure and Networking,pfSense / Firewall,reviewed-methodology,REVIEWED METHODOLOGY DOCUMENTATION
evidence-library/projects/infrastructure-networking/pfsense-network-segmentation-diagram-2026.md,generated-gap-evidence/pfsense-network-segmentation-diagram-2026.md,Pfsense Network Segmentation Diagram 2026,DOCUMENTATION,Architecture documentation,Infrastructure and Networking,pfSense / Firewall,reviewed-methodology,REVIEWED METHODOLOGY DOCUMENTATION
evidence-library/projects/infrastructure-networking/vlan-architecture-walkthrough-2026.md,generated-gap-evidence/vlan-architecture-walkthrough-2026.md,Vlan Architecture Walkthrough 2026,DOCUMENTATION,Architecture walkthrough,Infrastructure and Networking,Networking / VLANs,reviewed-methodology,REVIEWED METHODOLOGY DOCUMENTATION
evidence-library/skills/dns-dhcp/dns-dhcp-operational-runbook-2026.md,generated-gap-evidence/dns-dhcp-operational-runbook-2026.md,Dns Dhcp Operational Runbook 2026,DOCUMENTATION,Runbook,Infrastructure and Networking,DNS / DHCP,reviewed-methodology,REVIEWED METHODOLOGY DOCUMENTATION
evidence-library/validation-reports/network-validation-checklist-2026.md,generated-gap-evidence/network-validation-checklist-2026.md,Network Validation Checklist 2026,METHODOLOGY,Validation checklist,Change Management and Validation,Validation / Audit,reviewed-methodology,REVIEWED METHODOLOGY DOCUMENTATION
evidence-library/validation-reports/network-validation-checklist-2026.csv,generated-gap-evidence/network-validation-checklist-2026.csv,Network Validation Checklist 2026,METHODOLOGY,Validation checklist CSV,Change Management and Validation,Validation / Audit,reviewed-methodology,REVIEWED METHODOLOGY DOCUMENTATION
evidence-library/skills/service-desk-support/service-desk-network-troubleshooting-workflow-2026.md,generated-gap-evidence/service-desk-network-troubleshooting-workflow-2026.md,Service Desk Network Troubleshooting Workflow 2026,DOCUMENTATION,Runbook,Troubleshooting / RCA,Service Desk Support,reviewed-methodology,REVIEWED METHODOLOGY DOCUMENTATION
evidence-library/architecture-diagrams/service-desk-network-troubleshooting-flow-2026.svg,generated-gap-evidence/service-desk-network-troubleshooting-flow-2026.svg,Service Desk Network Troubleshooting Flow 2026,DOCUMENTATION,SVG flow diagram,Troubleshooting / RCA,Service Desk Support,reviewed-methodology,REVIEWED METHODOLOGY DOCUMENTATION
evidence-library/projects/backup-disaster-recovery/backup-restore-validation-workflow-2026.md,generated-gap-evidence/backup-restore-validation-workflow-2026.md,Backup Restore Validation Workflow 2026,DOCUMENTATION,Runbook,Backup and Disaster Recovery,Validation / Audit,reviewed-methodology,REVIEWED METHODOLOGY DOCUMENTATION
evidence-library/projects/monitoring-logging/monitoring-alerting-overview-2026.md,generated-gap-evidence/monitoring-alerting-overview-2026.md,Monitoring Alerting Overview 2026,DOCUMENTATION,Operational overview,Monitoring and Logging,Validation / Audit,reviewed-methodology,REVIEWED METHODOLOGY DOCUMENTATION
evidence-library/projects/microsoft-365-lab/microsoft-365-lab-architecture-overview-2026.md,generated-gap-evidence/microsoft-365-lab-architecture-overview-2026.md,Microsoft 365 Lab Architecture Overview 2026,DOCUMENTATION,Architecture overview,Microsoft 365 Lab,Microsoft 365 Administration,reviewed-methodology,REVIEWED METHODOLOGY DOCUMENTATION
evidence-library/architecture-diagrams/microsoft-365-lab-architecture-overview-2026.svg,generated-gap-evidence/microsoft-365-lab-architecture-overview-2026.svg,Microsoft 365 Lab Architecture Overview 2026,DOCUMENTATION,SVG diagram,Microsoft 365 Lab,Microsoft 365 Administration,reviewed-methodology,REVIEWED METHODOLOGY DOCUMENTATION

