"DisplayName","ServicePrincipalType","AccountEnabled"
"Power Platform Policy Services CM - PROD","Application","True"
"Group Configuration Processor","Application","True"
"SPAuthEvent","Application","True"
"Teams NRT DLP Ingestion Service","Application","True"
"Dynamics Lifecycle services","Application","True"
"Microsoft Flow CDS Integration Service","Application","True"
"IDS-PROD","Application","True"
"Microsoft AppPlat EMA","Application","True"
"Configuration Manager Microservice","Application","True"
"Dataverse","Application","True"
"Microsoft Teams UIS","Application","True"
"Microsoft Defender for Cloud Apps - Customer Experience","Application","True"
"Intune Mobile Application Management Client","Application","True"
"AADReporting","Application","True"
"Viva Skills","Application","True"
"Microsoft Azure Workflow","Application","True"
"Power Platform Environment Discovery Service","Application","True"
"Microsoft Device Management Checkin","Application","True"
"Office365 Shell SS-Server Default","Application","True"
"Device Registration Service","Application","True"
"O365 Secure Score","Application","True"
"Office 365 Information Protection","Application","True"
"Microsoft Alchemy Service","Application","True"
"Office 365 Enterprise Insights","Application","True"
"Microsoft Threat Protection","Application","True"
"Azure Signup Api","Application","True"
"Conferencing Virtual Assistant","Application","True"
"OfficeClientService","Application","True"
"Azure Virtual Desktop ARM Provider","Application","True"
"PowerApps Service","Application","True"
"Microsoft Office 365 Portal","Application","True"
"Microsoft Service Trust","Application","True"
"M365 License Manager","Application","True"
"Intune MonoDeviceService ConfidentialClient","Application","True"
"Conference Auto Attendant","Application","True"
"Microsoft 365 Security and Compliance Center","Application","True"
"PowerApps-Advisor","Application","True"
"OfficeServicesManager","Application","True"
"Microsoft.Defender.Incident","Application","True"
"Signal B2 Service","Application","True"
"Modern Workplace Customer APIs","Application","True"
"Portfolios","Application","True"
"Data Classification Service","Application","True"
"IC3 Modern Effective Config Worker","Application","True"
"MicrosoftEndpointDLP","Application","True"
"IC3 Tenant Provisioning","Application","True"
"Office 365 Search Service","Application","True"
"Microsoft.SMIT","Application","True"
"CompliancePolicy","Application","True"
"Office 365 Reports","Application","True"
"Microsoft Teams AuditService","Application","True"
"Skype Presence Service","Application","True"
"WindowsUpdate-Service","Application","True"
"Windows Azure Active Directory","Application","True"
"Power BI Service","Application","True"
"Microsoft Device Management EMM API","Application","True"
"Microsoft Intune","Application","True"
"Modern Policy Administration Pasta - Prod","Application","True"
"WeveEngine","Application","True"
"Microsoft Copilot Studio Service","Application","True"
"Intune DeviceDirectory ConfidentialClient","Application","True"
"Azure Purview","Application","True"
"Skype Teams Calling API Service","Application","True"
"Microsoft Managed Policy Manager","Application","True"
"IC3 Long Running Operations Service","Application","True"
"Microsoft Graph Change Tracking","Application","True"
"M365PurvieweDiscoveryService","Application","True"
"Signup","Application","True"
"AAD App Management","Application","True"
"Viva Engage","Application","True"
"Bing","Application","True"
"SalesInsightsWebApp","Application","True"
"Universal Print","Application","True"
"Teams NRT DLP Service","Application","True"
"Lifecycle Workflows","Application","True"
"Intune Grouping and Targeting Client Prod","Application","True"
"SharePoint Notification Service","Application","True"
"People Profile Event Proxy","Application","True"
"Microsoft Substrate Management","Application","True"
"Microsoft Teams Graph Service","Application","True"
"Microsoft Graph Connectors Core","Application","True"
"Power Platform Authorization Service PROD","Application","True"
"Substrate-FileWatcher","Application","True"
"Intune Compliance Client Prod","Application","True"
"Microsoft Solution Providers","Application","True"
"Call Quality Dashboard","Application","True"
"Customer Service Trial PVA - readonly","Application","True"
"Microsoft SaaS Hub Resource Provider","Application","True"
"OMSAuthorizationServicePROD","Application","True"
"Power Platform Connector Management Service - PROD","Application","True"
"Power Platform Data Analytics","Application","True"
"AAD Request Verification Service - PROD","Application","True"
"Teams Policy Notification Processor Service","Application","True"
"Virtual Visits App","Application","True"
"CABProvisioning","Application","True"
"Common Data Service License Management","Application","True"
"M365PurvieweDiscoveryInfra","Application","True"
"My Apps","Application","True"
"Microsoft App Access Panel","Application","True"
"Microsoft Defender Hunting","Application","True"
"DeploymentScheduler","Application","True"
"Customer Experience Platform PROD","Application","True"
"Graph-Automation","Application","True"
"Privacy Management","Application","True"
"CloudLicensingSystem","Application","True"
"Connectors","Application","True"
"Microsoft Flow Service","Application","True"
"OneNote Web Clipper","Application","True"
"IAMTenantCrawler","Application","True"
"Microsoft Information Protection API","Application","True"
"CPIM Service","Application","True"
"Power Platform API","Application","True"
"Intune CMDeviceService","Application","True"
"TenantSearchProcessors","Application","True"
"Microsoft Cloud App Security","Application","True"
"Microsoft password reset service","Application","True"
"Microsoft.Azure.SyncFabric","Application","True"
"Power Policy CM - PROD","Application","True"
"MsgDataMgmt","Application","True"
"OneProfile Service","Application","True"
"Sway","Application","True"
"Microsoft Intune Service Discovery","Application","True"
"Graph Connector Service","Application","True"
"Skype Core Calling Service","Application","True"
"Microsoft Exchange Online Protection","Application","True"
"OneNote","Application","True"
"Microsoft Teams ATP Service","Application","True"
"Microsoft AppSource","Application","True"
"M365 Admin Services","Application","True"
"Microsoft Approval Management","Application","True"
"OCaaS Experience Management Service","Application","True"
"Skype Teams Firehose","Application","True"
"Microsoft Rights Management Services","Application","True"
"SharePoint Online Web Client Extensibility","Application","True"
"SPNews","Application","True"
"Microsoft 365 App Catalog Services","Application","True"
"Microsoft Teams Services","Application","True"
"Power Apps Service Data Plane Backend","Application","True"
"Office365 Shell SS-Server","Application","True"
"Azure Multi-Factor Auth Client","Application","True"
"Microsoft Teams Chat Aggregator","Application","True"
"Customer Service Trial PVA","Application","True"
"PnP.PowerShell (Jeremy)","Application","True"
"P2P Server","Application","True"
"Office 365 Management APIs","Application","True"
"Microsoft Mobile Application Management","Application","True"
"Microsoft Teams Admin Portal Service","Application","True"
"GraphPS","Application","True"
"M365-Lab-GraphPS","Application","True"
"Meeting Migration Service","Application","True"
"MCAPI Authorization Prod","Application","True"
"SharePoint Home Notifier","Application","True"
"Azure Credential Configuration Endpoint Service","Application","True"
"o365.servicecommunications.microsoft.com","Application","True"
"Dunloe Dataplane Service","Application","True"
"O365 Demeter","Application","True"
"M365AdminAgent","Application","True"
"WindowsDefenderATP","Application","True"
"Azure Virtual Desktop","Application","True"
"M365 App Management Service","Application","True"
"SubscriptionRP","Application","True"
"Microsoft Teams AadSync","Application","True"
"Graph Connector Federated Credential App","Application","True"
"Power Virtual Agents ","Application","True"
"Audit Search Api Service","Application","True"
"Microsoft To-Do","Application","True"
"Microsoft Teams Mailhook","Application","True"
"Microsoft Intune SCCM Connector","Application","True"
"CAP Neptune Prod CM Prod ","Application","True"
"Microsoft Windows AutoPilot Service API","Application","True"
"MicrosoftEntraIDReputationManagementServices","Application","True"
"IPSubstrate","Application","True"
"Windows Update for Business Deployment Service","Application","True"
"Microsoft Intune Web Company Portal","Application","True"
"Skype and Teams Tenant Admin API","Application","True"
"PushChannel","Application","True"
"Office 365 Configure","Application","True"
"Microsoft Graph Command Line Tools","Application","True"
"SharePoint Framework Azure AD Helper","Application","True"
"Azure AD Notification","Application","True"
"Marketplace Rating and Reviews PROD","Application","True"
"Policy Administration Service","Application","True"
"Billing RP","Application","True"
"Teams Admin Monitoring Alerting Platform","Application","True"
"Office365 Shell WCSS-Server Default","Application","True"
"Microsoft Office Licensing Service","Application","True"
"Recommended","Application","True"
"Power Apps Service Customer Management Plane Backend","Application","True"
"Microsoft SharePoint Online - SharePoint Home","Application","True"
"Office Online Service","Application","True"
"Cortana at Work Service","Application","True"
"IAM Supportability","Application","True"
"PnP-Classical-Automation","Application","True"
"M365-Automation-App","Application","True"
"Office Shredding Service","Application","True"
"PPE-DataResidencyService","Application","True"
"Microsoft Threat Protection Bicep Extension","Application","True"
"Groups Service","Application","True"
"My Profile","Application","True"
"IpLicensingService","Application","True"
"Designer","Application","True"
"Teams CMD Services Artifacts","Application","True"
"Substrate Instant Revocation Pipeline","Application","True"
"Azure ESTS Service","Application","True"
"Azure MFA StrongAuthenticationService","Application","True"
"GraphPS","Application","True"
"Microsoft PrivateStore","Application","True"
"OCaaS Client Interaction Service","Application","True"
"Request Approvals Read Platform","Application","True"
"Microsoft Intune Advanced Threat Protection Integration","Application","True"
"Microsoft Information Protection Sync Service","Application","True"
"OCaaS Worker Services","Application","True"
"Centralized Deployment","Application","True"
"ProjectWorkManagement","Application","True"
"Azure Resource Manager","Application","True"
"O365 LinkedIn Connection","SocialIdp","True"
"Teams Biometric Service","Application","True"
"Media Analysis and Transformation Service","Application","True"
"Office 365 Exchange Online","Application","True"
"Marketplace Catalog","Application","True"
"Microsoft Customer Engagement Portal","Application","True"
"Microsoft Forms","Application","True"
"Microsoft Graph","Application","True"
"Office365DirectorySynchronizationService","Application","True"
"Skype for Business Online","Application","True"
"Messaging Bot API Application","Application","True"
"Cortana Runtime Service","Application","True"
"Exchange Rbac","Application","True"
"Azure Resource Graph","Application","True"
"Microsoft Modern Contact Master","Application","True"
"Windows 365","Application","True"
"AzureSupportCenter","Application","True"
"Microsoft Teams User Profile Search Service","Application","True"
"MS-PIM","Application","True"
"Office 365 SharePoint Online","Application","True"
"Microsoft People Cards Service","Application","True"
"Microsoft Azure AD Identity Protection","Application","True"
"MS Teams Griffin Assistant","Application","True"
"Dynamics Data Integration","Application","True"
"Microsoft Rights Management Services Default","Application","True"
"Azure AD Identity Governance - Entitlement Management","Application","True"
"Azure Multi-Factor Auth Connector","Application","True"
"Microsoft Intune API","Application","True"
"Microsoft Teams AuthSvc","Application","True"
"Microsoft Teams - Teams And Channels Service","Application","True"
"Verifiable Credentials Service Admin","Application","True"
"Narada Notification Service","Application","True"
