"DisplayName","Description"
"User Administrator","Can manage all aspects of users and groups, including resetting passwords for limited admins."
"Conditional Access Administrator","Can manage Conditional Access capabilities."
"Security Administrator","Security Administrator allows ability to read and manage security configuration and reports."
"Cloud Application Administrator","Can create and manage all aspects of app registrations and enterprise apps except App Proxy."
"Global Reader","Can read everything that a Global Administrator can, but not update anything."
"Azure AD Joined Device Local Administrator","Users assigned to this role are added to the local administrators group on Microsoft Entra joined devices."
"Intune Administrator","Can manage all aspects of the Intune product."
"Billing Administrator","Can perform common billing related tasks like updating payment information."
"Directory Readers","Can read basic directory information. Commonly used to grant directory read access to applications and guests."
"SharePoint Administrator","Can manage all aspects of the SharePoint service."
"Network Administrator","Can manage network locations and review enterprise network design insights for Microsoft 365 Software as a Service applications."
"Cloud App Security Administrator","Can manage all aspects of the Cloud App Security product."
"Helpdesk Administrator","Can reset passwords for non-administrators and Helpdesk Administrators."
"Cloud Device Administrator","Limited access to manage devices in Microsoft Entra ID."
"Global Administrator","Can manage all aspects of Microsoft Entra ID and Microsoft services that use Microsoft Entra identities."
"Exchange Administrator","Can manage all aspects of the Exchange product."
"Windows 365 Administrator","Can provision and manage all aspects of Cloud PCs."
