"Id","DisplayName","Description"
"130e7f68-8803-4168-b6af-d7ec1be531e2","User Administrator","Can manage all aspects of users and groups, including resetting passwords for limited admins."
"1f35bc6f-28c5-4b84-b7ae-781368294ca4","Conditional Access Administrator","Can manage Conditional Access capabilities."
"3280df4b-f5d8-4287-93cf-25929239d7e5","Security Administrator","Security Administrator allows ability to read and manage security configuration and reports."
"3f446ee9-5f4b-4048-822c-2919362a0900","Cloud Application Administrator","Can create and manage all aspects of app registrations and enterprise apps except App Proxy."
"46b2ac18-4b02-40ba-aaf7-ea97547c85c0","Global Reader","Can read everything that a Global Administrator can, but not update anything."
"694660d6-0e24-470b-9703-9a768c93e548","Azure AD Joined Device Local Administrator","Users assigned to this role are added to the local administrators group on Microsoft Entra joined devices."
"6d729605-9bd1-493c-9099-ad1394433914","Intune Administrator","Can manage all aspects of the Intune product."
"7ff2df68-9c3f-4e02-9a0d-b88295f38c0e","Billing Administrator","Can perform common billing related tasks like updating payment information."
"9d1940d7-c24d-4149-8ddc-06ac7087b641","Directory Readers","Can read basic directory information. Commonly used to grant directory read access to applications and guests."
"a651b591-d2c7-4ab0-9045-a40eaca5ecac","SharePoint Administrator","Can manage all aspects of the SharePoint service."
"b1e95f39-75f3-4700-bf1c-3c88196468be","Network Administrator","Can manage network locations and review enterprise network design insights for Microsoft 365 Software as a Service applications."
"b2ffed3c-3aac-4b99-a723-be10f354ced8","Cloud App Security Administrator","Can manage all aspects of the Cloud App Security product."
"c2cc7a32-5d14-4665-aebd-426b8a1f489c","Helpdesk Administrator","Can reset passwords for non-administrators and Helpdesk Administrators."
"c3780b39-0c40-4cae-abd7-ca8fec8674dd","Cloud Device Administrator","Limited access to manage devices in Microsoft Entra ID."
"c533aa8c-d44d-4d0d-a176-753b12ad6b5d","Global Administrator","Can manage all aspects of Microsoft Entra ID and Microsoft services that use Microsoft Entra identities."
"e07c6905-9846-4d9e-ba36-21dc63a980e8","Exchange Administrator","Can manage all aspects of the Exchange product."
"f0d28719-e730-40cd-941f-9eb43f8f3197","Windows 365 Administrator","Can provision and manage all aspects of Cloud PCs."
